id,type,brand,assignment_id,soundslice_slug,length_in_seconds
383417,song,guitareo,383418,HL14c,122
383419,song,guitareo,383420,K-s4c,134
383421,song,guitareo,383422,1r14c,264
383423,song,guitareo,383424,Hzs4c,268
383425,song,guitareo,383426,yMb4c,338
383427,song,guitareo,383266,nps4c,272
383428,song,guitareo,383429,bCJ4c,236
383430,song,guitareo,383431,wh14c,194
383432,song,guitareo,383433,64H4c,299
383434,song,guitareo,383435,-SJ4c,186
383436,song,guitareo,383437,yL14c,264
383451,song,guitareo,383452,VYB4c,244
383453,song,guitareo,383454,bhW4c,184
383502,song,guitareo,383503,K1B4c,159
383504,song,guitareo,383505,7rW4c,317
383506,song,guitareo,383507,Hrd4c,259
383508,song,guitareo,383509,yH74c,266
383510,song,guitareo,383511,Ymd4c,188
383606,song,guitareo,383607,wYZ4c,126
383608,song,guitareo,383609,59d4c,261
383610,song,guitareo,383611,jQB4c,255
383612,song,guitareo,383613,cYZ4c,121
383614,song,guitareo,383615,QtB4c,257
383798,song,guitareo,383800,bn74c,212
383799,song,guitareo,383801,3PB4c,187
383802,song,guitareo,383806,5QW4c,284
383803,song,guitareo,383805,5Xd4c,132
383804,song,guitareo,383807,JHW4c,213
383858,song,guitareo,383869,J4L4c,220
383860,song,guitareo,383865,7GZ4c,144
383861,song,guitareo,383864,z5Z4c,169
383862,song,guitareo,383867,nx74c,163
383863,song,guitareo,383866,gz74c,261
383870,song,guitareo,383872,WQL4c,144
383871,song,guitareo,383873,H2L4c,262
383925,song,guitareo,383926,qlj4c,126
383927,song,guitareo,383928,m6L4c,221
383929,song,guitareo,383930,fYj4c,391
383931,song,guitareo,383932,Nn74c,271
383933,song,guitareo,383934,n984c,331
386131,song,guitareo,386135,lPj4c,250
386132,song,guitareo,386137,9d84c,138
386133,song,guitareo,386136,F1Z4c,258
386134,song,guitareo,386138,WYZ4c,231
386139,song,guitareo,386140,3h74c,200
386257,song,guitareo,386263,Xrj4c,207
386258,song,guitareo,386267,jlL4c,185
386259,song,guitareo,386266,tlj4c,109
386260,song,guitareo,386265,BGW4c,177
386261,song,guitareo,386268,G2Z4c,268
386262,song,guitareo,386264,hwd4c,225
386269,song,guitareo,386271,SZQ4c,320
386273,song,guitareo,386274,3KZ4c,135
386275,song,guitareo,386276,Npj4c,289
386363,song,guitareo,386364,3DL4c,353
386365,song,guitareo,386366,Dg94c,539
386367,song,guitareo,386368,mRP4c,261
386369,song,guitareo,386371,YpP4c,313
386370,song,guitareo,386372,Kgx4c,356
386374,song,guitareo,386376,Z-P4c,223
386375,song,guitareo,386377,Q-P4c,305
386378,song,guitareo,386379,qZZ4c,184
