id,type,title,Genre,Essentials-1,Essentials-2,Theory-1,Theory-2,Creativity-1,Creativity-2,Lifestyle-1,Lifestyle-2
317285,student-collaborations,#101 - Ice Cream Sunday,,,,,,,,,Gigging Tips & Gear
317287,performances,"Imonolith - ""Angevil""",,,,,,,,,
317288,quick-tips,23 Famous Jazz Grooves,,,,,,,,,Performance
31747,course,Creating Unique Grooves,,,,,,,,,
317510,coach-stream,Just Drums!,,,,,,,,,Performance
317511,coach-stream,Warm Up Rudiment Variations,,,,,,,,,
317656,coach-stream,Flam Taps & Steel Pans!,,Setup & Tuning,,,,,,,Gigging Tips & Gear
31774,on-the-road,What Is PASIC 2017,,,,Ear Training,,Grooves,,,
31800,boot-camps,Beginner Flam-Groove Boot Camp,,,,,,,,,
31802,boot-camps,Absolute Beginner's Left Foot Hi-Hat Boot Camp,,,,,,,,,
31826,course,Compound Rudiments,R&B/Soul,,,,,,,Performance,
318325,performances,"Chris Fischer - ""Iconolastik""",,,,,,,,,
318332,performances,"Shawn Mendes - ""Stitches""",,,,,,,,,Other
31872,boot-camps,Beginner's Left Foot Hi-Hat Boot Camp,,,,,,Independence,,,
318877,performances,Every Drummer Does This!,,Rudiments,Dynamics,,,,,,
319269,coach-stream,My Guide To Prepping For A New Gig!,,,,,,Making Music,,,Gigging Tips & Gear
319270,coach-stream,Domino's Tour Stories,,,,,,,,,Other
319273,coach-stream,Live Requests With Domino!,,,,,,,,,
319311,coach-stream,Active Listening,,,,,,Fills & Chops,,,Performance
319312,coach-stream,Learning Songs,,,,,,,,,
319313,coach-stream,Struggle Street!,,,,,,,,,Gigging Tips & Gear
319314,coach-stream,Drum Workout Session: Fills And Drills,,,,,,,,,Performance
319715,performances,Making Household Items Sound Like A Professional Drumset,,,,,,,,,Other
319910,coach-stream,Hand Workout Using The Stick Control Book,,Rudiments,,,,,,,
319911,coach-stream,Solidify Your Time Using The Metronome,,,,,,,,,
319913,coach-stream,Ostinato Workout,,,,Time Signatures,,,,Other,Gigging Tips & Gear
319914,coach-stream,Sarah's Year-End Party Jam!,,,,,,,,,
319915,coach-stream,Building Left Hand Strength On Snare Drum,,,,,,,,,
319916,coach-stream,Weaker-Hand Lead - Rudiment Boot Camp,,,,,,,,,
319917,coach-stream,Swinging Your Rudiments - Hand Boot Camp,,Hand Technique,Rudiments,,,,,,
319918,coach-stream,Drags & Ratamacues!,,Rudiments,,,,,,,
319923,coach-stream,Rhythmic Accuracy & Odd Subdivisions,,,,,,,,,
319937,coach-stream,Ask Me Anything - Q&A With Domino!,,Rudiments,,,,Grooves,,,
319938,coach-stream,Home Studio Tour!,,,,,,,,,
